Exercícios,Descrição,Criado/editado por,Grupo de exercícios,Código
"""Polichinelo""",,,Aeróbico,
``PECK DECK `` COM HALTER EM PE,,,OMBRO,
``PECK DECK COM HALTER``,,,OMBRO,
14/20. PULLEY COSTAS,,,COSTAS,
14/20. PULLEY FECHADO,,,COSTAS,
14/20. PULLEY TRIÂNGULO,,,COSTAS,
ABDOM. INFRA DOBRADA,,,ABDOME,
ABDOM. INFRA ESTENDIDA,,,ABDOME,
abdomen paralela,,,Abdomen,
Abdominal,,,Abdomen,
ABDOMINAL AMPLITUDE MÁXIMA,,,ABDOME,
abdominal bicicleta,,,Abdomen,
ABDOMINAL BOXEADOR,,,ABDOME,
ABDOMINAL CANIVETE,,,ABDOME,
abdominal cruzado,,,Abdomen,
abdominal escorpião,,,Abdomen,
abdominal Hammer,,,Abdomen,
Abdominal hollow + v-up,,,Abdomen,
abdominal infra,,,Abdomen,
abdominal infra com bola,,,Abdomen,
Abdominal lateral bola,,,Abdomen,
Abdominal lateral cross,,,Abdomen,
abdominal máquina,,,Abdomen,
abdominal mobilizador de quadril,,,Abdomen,
ABDOMINAL MOBILIZADOR DE TRONCO,,,Abdomen,
ABDOMINAL NO APARELHO,,,ABDOME,
ABDOMINAL OBLÍQUO,,,ABDOME,
ABDOMINAL OBLÍQUO AMPLITUDE MÁXIMA,,,ABDOME,
ABDOMINAL OBLÍQUO NO APARELHO,,,ABDOME,
ABDOMINAL OBLÍQUO UNILATERAL,,,ABDOME,
ABDOMINAL PÉS FIXOS,,,ABDOME,
abdominal prancha frontal,,,Abdomen,
abdominal prancha lateral,,,Abdomen,
abdominal Precor,,,Abdomen,
abdominal remador,,,Abdomen,
abdominal reto,,,Abdomen,
abdominal rotação máquina,,,Abdomen,
abdominal supra,,,Abdomen,
ABDOMINAL SUPRA NO APARELHO[1],,,ABDOME,
ABDOMINAL SUPRA NO APARELHO[2],,,ABDOME,
abdominal U,,,Abdomen,
Abdução,,,Abdutores,
abdução caneleira,,,Abdutores,
ABDUÇÃO CROSS OVER,,,PERNA,
abdução de ombros,,,Deltóide,
Abdução de quadril - ostra ,,Bianca Bueno,Glúteos,
Abdução de quadril com band,,Bianca Bueno,Glúteos,
ABDUÇÃO DEITADO COM CANELEIRA,,,PERNA,
ABDUÇÃO EM PÉ,,,PERNA,
abdução polia,,,Abdutores,
ABS BOLA ISOMETRIA,,,ABDOME,
ABS DECLINADO + CURTINHO,,,ABDOME,
"ABS DECLINADO 15 + 20""",,,ABDOME,
ABS DECLINADO 5 DINA +15``ISO,,,ABDOME,
ABS DECLINADO DINAMICO,,,ABDOME,
ABS DECLINADO LONGO E CURTINHO,,,ABDOME,
ABS DECLINADO SUPRA +CURTINHO,,,ABDOME,
ABS INCLINADO DINAMICO,,,ABDOME,
ABS INCLINADO PERNAS UNIDAS,,,ABDOME,
ABS INFRA,,,ABDOME,
ABS INFRA + ISOMETRIA,,,ABDOME,
ABS INFRA +ISOMETRIA,,,ABDOME,
ABS OBLIQUO BOLA,,,ABDOME,
ABS OBLIQUO PERNAS AFASTADAS,,,ABDOME,
ABS OBLIQUO SUSPENSAO DE PERNAS,,,ABDOME,
ABS REMADA,,,ABDOME,
ABS REMADA BOLA PERNA ESTENDIDA,,,ABDOME,
ABS REMADA UNILATERAL,,,ABDOME,
ABS SUPRA + CURTINHO,,,ABDOME,
ABS SUPRA + SUPRA CURTINHO,,,ABDOME,
ABS SUPRA CURTINHO,,,ABDOME,
ABS SUPRA NA BOLA DINAMICO,,,ABDOME,
ABS SUPRA NA BOLA ISOMETRIA,,,ABDOME,
ABS SUPRA+CURTO PERNAS AFASTADAS,,,ABDOME,
ABS VELA,,,ABDOME,
ADUÇÃO,,,PERNA,
adução caneleira,,,Adutores,
